cd	track	track_title	recording_title	chorale	recording_id
1	1	Schwing. dich auf zu deinem Gott (Cantata BWV40)	Schwing' dich auf zu deinem Gott, Cantata BWV 40	305	f92fa5a3-dbb9-4404-a009-d8aa5e923cb5
1	2	Seelenbräutigam BWV409	Seelenbräutigam, BWV 409	306	276cb079-d2d2-459f-85c2-cf81c51af314
1	3	Singen wir aus Herzensgrund (Cantata BWV187)	Singen wir aus Herzensgrund, Cantata BWV 187	308	7fa8754a-0698-40df-96f6-1f43415aab5e
1	4	Singt dem Herrn ein neues Lied BWV411	Singt dem Herrn ein neues Lied, BWV 411	309	f79a760c-3ad2-4cfa-abec-6342682bc041
1	5	Sollt. ich meinem Gott nicht singen BWV413	Sollt' ich meinem Gott nicht singen, BWV 413	311	107bb433-e048-43a0-acc0-c138dc8b4fa0
1	6	Straf mich nicht in deinem Zorn (Cantata BWV115)	Straf mich nicht in deinem Zorn, Cantata BWV 115	312	46a600b8-0e90-4e47-994a-913c0be6053f
1	7	Valet will ich dir geben BWV415	Valet will ich dir geben, BWV 415	314	a42b5893-e1b1-4536-b162-df048be8a299
1	8	Vater unser im Himmelreich (Cantata BWV90)	Vater unser im Himmelreich, Cantata BWV 90	319	69e14f02-2f29-488e-b5a0-b2a2a88e64b3
1	9	Vater unser im Himmelreich (Cantata BWV102)	Vater unser im Himmelreich, Cantata BWV 102	320	fd7b3eea-df73-4c36-bc4d-55238c4c6cc2
1	10	Von Gott will ich nicht lassen BWV417	Von Gott will ich nicht lassen, BWV 417	324	72f3f707-f85d-4409-bf24-0bf127cbd612
1	11	Von Gott will ich nicht lassen BWV418	Von Gott will ich nicht lassen, BWV 418	325	f17e9ef9-c258-458c-857d-c4baba146897
1	12	Von Gott will ich nicht lassen BWV419	Von Gott will ich nicht lassen, BWV 419	326	1daf1955-b34f-4114-83ec-d52ce1e0a96e
1	13	Von Gott will ich nicht lassen Zunfinished cantata)	Von Gott will ich nicht lassen, Unfinished Cantata	327	77661453-efdc-4a7e-a3a5-9449adc44af5
1	14	Von Gott will ich nicht lassen (Cantata BWV73)	Von Gott will ich nicht lassen, BWV 73	328	cd6b539f-2163-428b-b698-5665971467e4
1	15	Wär. Gott nicht mit uns diese Zeit (Cantata BWV14)	Wär' Gott nicht mit uns diese Zeit, Cantata BWV 14	330	24582306-f3c4-4e3e-b290-b64ee1cd985d
1	16	Warum betrübst du dich, mein Herz BWV420	Warum betrübst du dich, mein Herz, BWV 420	331	c140875a-952a-487f-a425-763eeaa90d18
1	17	Warum betrübst du dich, mein Herz (Cantata BWV47)	Warum betrübst du dich, mein Herz, BWV 47	333	1a085197-9e8a-44b9-b7f6-2d25a6045d20
1	18	Warum sollt. ich mich denn grämen BWV422	Warum sollt' ich mich denn grämen, BWV 422	334	f4e9224f-ad35-4293-be8c-3ace82756807
1	19	Was betrübst du dich, mein Herze BWV423	Was betrübst du dich, mein Herze, BWV 425	336	7f8b032d-34c9-4c30-b9e4-fd0268b9c425
1	20	Was bist du doch, o Seele, so betrübet BWV424	Was bist du doch, o Seele, so betrübet, BWV 424	337	dec89b4a-5803-4839-9c33-ff37b3bc36eb
1	21	Was Gott thut, das ist wohlgethan (Cantata BWV144)	Was Gott thut, das ist wohlgethan, Cantata BWV 144	338	836ffae6-6952-4b18-9f26-2a64f938b289
1	22	Was Gott thut, das ist wohlgethan (Cantata BWV99)	Was Gott thut, das ist wohlgethan, Cantata BWV 99	341	8ea0ea58-2ff3-4d7b-b566-aa4331cca0cf
1	23	Was mein Gott will, das g.scheh. allzeit (Matthäus-Passion BWV244)	Was mein Gott will, das g'scheh' allzeit, St. Mathew Passion BWV 244	342	5b08ff76-ee04-4652-bff6-fe9401e9e40a
1	24	Was mein Gott will, das g.scheh. allzeit (Cantata BWV144)	Was mein Gott will, das g'scheh' allzeit, Cantata BWV 144	343	a576d6ff-e17a-4387-9139-15c36ff0c104
1	25	Was mein Gott will, das g.scheh. allzeit (Cantata BWV72)	Was mein Gott will, das g'scheh' allzeit, Cantata BWV 72	344	5730fd88-f0da-44b5-b681-d4b2c1a5a6c5
1	26	Was mein Gott will, das g.scheh. allzeit (Cantata BWV111)	Was mein Gott will, das g'scheh' allzeit, Cantata BWV 111	345	ee6324f7-8e7e-4874-ae3f-f1f6e30ca9eb
1	27	Was mein Gott will, das g.scheh. allzeit (Cantata BWV65)	Was mein Gott will, das g'scheh' allzeit, Cantata BWV 65	346	ebe0dd22-e557-4990-8f8b-aabe62eb254f
1	28	Was mein Gott will, das g.scheh. allzeit (Cantata BWV92)	Was mein Gott will, das g'scheh' allzeit, Cantata BWV 92	347	b84f24bb-3e38-49cd-8ddc-41a87d62d68e
1	29	Was mein Gott will, das g.scheh. allzeit (Cantata BWV103)	Was mein Gott will, das g'scheh' allzeit, Cantata BWV 103	348	901e3c82-07ff-4681-81eb-5025480db5bc
1	30	Was willst du dich, o meine Seele BWV425	Was willst du dich, o meine Seele, BWV 425	349	bb6a0bdc-3cc2-4cc0-b586-adafb2190f5a
1	31	Weltlich Ehr. und zeitlich Gut BWV426	Weltlich Ehr' und zeitlich Gut, BWV 426	351	7e9c0ded-65e1-4dd3-ae44-f20ee3433d04
1	32	Wenn ich in Angst und Noth BWV427	Wenn ich in Angst und Noth, BWV 427	352	8a55032e-faf4-4015-b1e3-44dade79688d
1	33	Wenn mein Stündlein vorhanden ist BWV430	Wenn mein Stündlein vorhanden ist, BWV 430	355	a05afb05-2e8a-4dc9-b766-e39114e25e67
1	34	Wenn wir in höchsten Nöthen sein BWV431	Wenn wir in höchsten Nöthen sein, BWV 431	358	d082df32-df04-4b89-aed8-6d55cc4d4687
1	35	Wenn wir in höchsten Nöthen sein BWV432	Wenn wir in höchsten Nöthen sein, BWV 432	359	8a5c3ff8-acc6-4bf5-b219-788b47d8000c
1	36	Werde munter, mein Gemüthe (Cantata BWV146)	Werde munter, mein Gemüthe, Cantata BWV 146	360	aa1b01e8-d126-4544-8122-51b8fde8847c
1	37	Werde munter, mein Gemüthe (Matthäus-Passion)	Werde munter, mein Gemüthe, St. Mathew Passion BWV 244	361	543f4654-dcdd-40bf-aa8f-699cc7c13071
1	38	Werde munter, mein Gemüthe BWV360	Werde munter, mein Gemüthe, BWV 360	364	2e6ed2cb-f6eb-4438-bcc0-96bc6427ad98
1	39	Werde munter, mein Gemüthe (Cantata BWV154)	Werde munter, mein Gemüthe, Cantata BWV 154	365	223c9acc-aec3-428f-8d06-7d961c9569ea
1	40	Wer Gott vertraut, hat wohlgebaut BWV433	Wer Gott vertraut, hat wohlgebaut, BWV 433	366	bad0addc-0310-4cb0-bbe9-3a8a6ea92de0
1	41	Wer nur den lieben Gott läßt walten BWV434	Wer nur den lieben Gott läßt walten, BWV 434	367	3e58f9be-beda-4f3b-953b-5f2c26dd73ad
1	42	Wer nur den lieben Gott läßt walten (Cantata BWV88)	Wer nur den lieben Gott läßt walten, Cantata BWV 88	368	51c1d458-e834-475e-8625-611f7408dc33
1	43	Wer nur den lieben Gott läßt walten BWV197	Wer nur den lieben Gott läßt walten, BWV 197	370	4415503a-f8e3-43e2-8b58-f8702ac47543
1	44	Wer nur den lieben Gott läßt walten (Cantata BWV179)	Wer nur den lieben Gott läßt walten, Cantata BWV 179	371	e57019d4-dee8-4fb3-8b56-642d8f581a1b
1	45	Wer nur den lieben Gott läßt walten (Cantata BWV166)	Wer nur den lieben Gott läßt walten, Cantata BWV 166	372	4bf442d8-8239-4427-9551-6afd00302e24
1	46	Wer nur den lieben Gott läßt walten (Cantata BWV84)	Wer nur den lieben Gott läßt walten, Cantata BWV 84	373	c5f6d61f-fb97-4cf4-b0fc-0c21dcbf79de
1	47	Wie bist du, Seele, in mir so gar betrübt BWV435	Wie bist du, Seele, in mir so gar betrübt, BWV 435	374	bf7450ad-cc16-43ec-8b2e-be790ab00111
1	48	Wie schön leuchtet der Morgenstern (Cantata BWV36)	Wie schön leuchtet der Morgenstern, Cantata BWV 36	377	ed5328fd-9b05-4812-9f43-54cb20242c39
1	49	Wo Gott der Herr nicht bei uns hält BWV258	Wo Gott der Herr nicht bei uns hält, BWV258	383	6a43daa4-63cc-48cf-9c8f-02d39f9337be
1	50	Wo Gott der Herr nicht bei uns hält (Cantata BWV178)	Wo Gott der Herr nicht bei uns hält, Cnatata BWV 178	384	e11560d8-0fe4-4be5-950c-8dd80a05e017
1	51	Wo Gott der Herr nicht bei uns hält BWV256	Wo Gott der Herr nicht bei uns hält, BWV 256	385	6344be83-b532-4bad-ada3-c6334c8e3870
1	52	Wo Gott der Herr nicht bei uns hält (Cantata BWV114)	Wo Gott der Herr nicht bei uns hält, Cantata BWV 114	386	672a5e51-8dfc-487b-85bf-1b9b0a786e28
1	53	Wo Gott der Herr nicht bei uns hält BWV257	Wo Gott der Herr nicht bei uns hält, BWV 257	388	ab318767-3950-4183-af95-30eb0288cc1e
1	54	Wo Gott zum Haus nicht gibt sein. Gunst BWV438	Wo Gott zum Haus nicht gibt sein' Gunst, BWV 438	389	fffb6703-b05c-4c05-b3d9-235ceba80861
2	1	Jesu, meine Freude (Cantata BWV64)	Jesu, meine Freude, Cantata BWV 64	200	c12230d1-4e1d-4ce9-ac6b-a18b4641ecd9
2	2	Jesu, meines Herzens Freud. BWV361	Jesu, meines Herzens Freud', BWV 361	202	8e2a60f5-be77-408f-a892-4de412b12423
2	3	Jesu, nun sei gepreiset BWV362	Jesu, nin sei gepreiset, BWV 362	203	26df3cab-076b-4257-8a98-e4351e77816c
2	4	Jesus, meine Zuversicht BWV365	Jesus, meine Zuversicht, BWV 365	208	2aa92602-a7bf-49bc-865e-e2331607ba35
2	5	Ihr Gestirn., ihr hohlen Lüfte BWV366	Ihr Gestirn', ihr hohlen Lüfte, BWV 366	210	dccde6e3-e566-4eab-b9bd-d61026bb9348
2	6	In allen meinen Thaten BWV367	In allen meinen Thaten, BWV 367	211	ec71ddfb-5ce6-4c31-a43b-552e796c4a5d
2	7	Ist Gott mein Schild und Helfersmann (Cantata BWV85)	Ist Gott mein Schild und Helfersmann, Cantata BWV 85	216	3d8d50df-82a3-4c4b-a88c-5b29dfb01df8
2	8	Keinen hat Gott verlassen BWV369	Keinen hat Gott verlassen, BWV 369	217	387a43af-b906-4309-b41c-13aed876c6eb
2	9	Komm, Gott Schöpfer, heiliger Geist BWV370	Komm, Gott Schöpfer, heiliger Geist, BWV 370	218	8363806d-afe6-4b2b-a460-604748a6e774
2	10	Komm, heiliger Geist, Herre Gott BWV226	Komm, heileger Geist, Herre Gott, BWV 226	221	61978acd-7fbb-4975-a040-a947bafcdf7e
2	11	Komm, Jesu komm BWV229	Komm, Jesu komm, BWV 229	222	b79d399f-75d1-47ce-8b30-439b1ff23f7d
2	12	Kommt her zu mir, spricht Gottes Sohn (Cantata BWV74)	Kommt her zu mir, spricht Gottes Sohn, Cantata BWV 74	223	9988c307-3599-4a8b-94be-ee9deb4db169
2	13	Kommt her zu mir, spricht Gottes Sohn (Cantata BWV108)	Kommt her zu mir, spricht Gottes Sohn, Cantata BWV 108	224	38c77251-f49a-41dc-92af-25eb06584622
2	14	Lass, o Herr, dein Ohr sich neigen BWV372	Lass, o Herr, dein Ohr sich neigen, BWV 372	226	072c25be-6bd9-4a25-b19d-070e6755bb55
2	15	Liebster Jesu, wir sind hier BWV373	Liebster Jesu, wir sind hier, BWV 373	228	9446902e-ed93-426d-b276-2bdc1ec6d2f8
2	16	Liebster Immanuel, Herzog der Frommen (Cantata BWV123)	Liebster Immanuel, Herzog der Frommen, Cantata BWV 123	229	6ddde4b3-24e6-4a0b-a369-5857e6ea10b4
2	17	Lobe den Herren, den mächtigen König der Ehren (Cantata BWV57)	Lobe den Herren, den mächtigen König der Ehren, Cantate BWV 57	231	91fe98e3-336d-4723-aa73-1c192bf0b07f
2	18	Lobet den Herren, denn er ist sehr freundlich BWV374	Lobet den Herren, denn er ist sehr freundlich, BWV 374	232	2319839b-52c4-4a8b-aa78-e4dced91bf61
2	19	Mach.s mit mir, Gott, nach deiner Güt. BWV377	Mach's mit mir, Gott, nach deiner Güt', BWV 377	237	9c47d19f-6bce-4214-ba69-241278644c19
2	20	Mach.s mit mir, Gott, nach deiner Güt. (Cantata BWV139)	Mach's mit mir, Gott, nach deiner Güt', Cantata BWV 139	238	6f4e64e6-17c1-4dde-8f11-33c2873561d7
2	21	Mein. Augen schließ. ich jetzt BWV378	Mein' Augen schließ' ich jetzt, BWV 378	240	15878173-8738-443f-849b-54601c0744f3
2	22	Meinen Jesum lass. ich nicht, Jesus BWV379	Meinen Jesum lass' ich nicht, Jesus, BWV 379	241	9533507f-7e98-4955-9a37-de794d21d7e1
2	23	Meinen Jesum lass. ich nicht BWV380	Meinen Jesum lass' ich nicht, BWV 380	242	388892ea-68a3-44a9-9e4b-c231bc03eddd
2	25	Meinen Jesum lass. ich nicht (Cantata BWV124)	Meinen Jesum lass' ich nicht, Cantata BWV 124	246	44b48d07-528b-4a87-b869-d03ffb7d1d46
2	26	Meines Lebens letzte Zeit BWV381	Meines Lebens letzte Zeit, BWV 381	248	f919effc-48dc-4153-9c1d-f44220770108
2	27	Mit Fried. und Freud. ich fahr. dahin BWV382	Mit Fried' und Freud' ich fahr' dahin, BWV 382	249	088453ce-af6d-4a18-8023-241fe3d7018e
2	28	Mit Fried. und Freud. ich fahr. dahin (Cantata BWV83)	Mit Fried' und Freud' ich fahr' dahin, Cantate BWV 83	250	dd04ac2f-53ad-4072-bbdf-e1c79cbd3689
2	29	Mit Fried. und Freud. ich fahr. dahin (Cantata BWV125)	Mit Fried' und Freud' ich fahr' dahin, Cantata BWV 125	251	051bed3f-c30a-400e-a501-5705f94969ab
2	30	Mitten wir im Leben sind BWV383	Mitten wir im Leben sind, BWV 383	252	3b8ee50d-96ed-49ca-96b8-6661b85baed0
2	31	Nicht so traurig, nicht so sehr BWV384	Nicht so traurig, nicht so sehr, BWV 384	253	0a582b07-815f-420f-877d-a71f02d07407
2	32	Nun bitten wir den heiligen Geist BWV385	Nun bitten wir den heiligen Geist, BWV 385	254	b9383143-85e6-4cd5-8ab3-cf5abc7753dc
2	33	Nun bitten wir den heiligen Geist (Cantata BWV169)	Nun bitten wir den heiligen Geist, Cantata BWV 169	256	976473b3-786c-4316-a4e4-9a676277c12d
2	34	Nun danket alle Gott BWV386	Nun danket alle Gott, BWV 386	257	4c8fd196-4d33-48a4-94f0-3e09c48235dd
2	35	Nun freut euch, Gottes Kinder all BWV387	Nun freut euch, Gottes Kinder all, BWV 387	260	57b199f2-d2f3-440d-be75-101271c6b276
2	36	Nun lasst uns Gott, dem Herren (Cantata BWV165)	Nun lasst uns Gott, dem Herren, Cantata BWV 165	266	d93365fc-a40c-4d37-8884-e5754f5db582
2	37	Nun lob., mein. Seel., den Herren BWV389	Nun lob', mein' Seel', den Herren, BWV 389	269	8fca2fab-d21f-491a-b050-ec87e5261a61
2	38	Nun lob., mein. Seel., den Herren BWV390	Nun lob', mein' Seel', den Herren, BWV 390	270	bc404da1-03b2-4a4d-9571-bf9f23f717a4
2	39	Nun preiset alle Gottes Barmherzigkeit BWV391	Nun preiset alle Gottes Barmherzigkeit, BWV 391	273	3c7cf114-7303-47d1-81ac-c33700e2d9d0
2	40	Nun sich der Tag geendet hat BWV396	Nun sich der Tag geendet hat, BWV 396	274	40e2c802-45a1-469c-a587-6747bb24bd49
2	41	O Ewigkeit, du Donnerwort BWV397	O Ewigkeit, du Donnerwort, BWV 397	275	54297a63-3c60-472d-b119-424804d0b99c
2	42	O Ewigkeit, du Donnerwort (Cantata BWV20)	O Ewigkeit, du Donnerwort, Cantata BWV 20	276	f4916069-efb3-4367-aaf3-f4a170bb5dd9
2	43	O Gott, du frommer Gott BWV398	O Gott, du frommer Gott, BWV 398	277	24d2b564-060a-4bdd-830b-1bdb9db6f591
2	44	O Gott, du frommer Gott (Cantatas BWV64, 94)	O Gott, du frommer Gott, Cantata BWV 64, 94	280	30f1790a-ecf1-451d-afc9-06f64a056e5f
2	45	O Gott, du frommer Gott BWV399	O Gott, du frommer Gott, BWV 399	282	7975e771-56af-4a95-b4b8-a04302eb4c69
2	46	O Herre Gott, dein göttlich Wort (Cantata BWV184)	O Herre Gott, dein göttlich Wort, Cantata BWV 184	283	86fd3310-f8ee-4567-b54c-7da403433308
2	47	O Welt, ich muß dich lassen BWV392	O Welt, ich muß dich lassen, BWV 392	298	03b160a8-7c1a-4ab7-96aa-075e80c3c9f2
2	48	O wie selig seid ihr doch, ihr Frommen BWV405	O wie selig seid ihr doch, ihr Frommen, BWV 405	299	e737b38e-e304-4acb-9707-712fddec7342
2	49	O wie selig seid ihr doch, ihr Frommen BWV406	O wie selig seid ihr doch, ihr Frommen, BWV 406	300	b3d2d1f7-27ad-457f-9228-db426f01231b
2	50	Schmücke dich, o liebe Seele (Cantata BWV180)	Schmücke dich, o liebe Seele, Cantata BWV 180	304	fbd47b79-3ef7-4dca-bbaf-a10231090672
3	1	Als der gütige Gott BWV264	Als der gütige Gott, BWV 264	20	6cfd7455-bdaf-48d0-a51d-72b6f6e6ca52
3	2	Das neugeborne Kindelein (Cantata BWV122)	Das neugeborne Kindelein, Cantata BWV 122	57	dc9c84de-bd93-4a1d-b66a-bb06a1a8ef64
3	3	Der Tag, der ist so freudenreich BWV294	Der Tag, der ist so freudenreich, BWV 294	62	423025df-ffe1-4948-9d5c-2e323f25b6a5
3	4	Ermuntre dich, mein schwacher Geist (Christmas Oratorio BWV248)	Ermuntre dich, mein schwacher Geist, Christmas Oratorio BWV 248	80	5f64592b-56fa-4db2-a828-1e635ab77e3d
3	5	Freuet euch, ihr Christen alle (Cantata BWV40)	Freuet euch, ihr Christen alle, Cantata BWV 40	105	24a370de-8852-4a68-a12b-5a4e252af30d
3	6	Für Freuden laßt uns springen BWV313	Für Freuden laßt uns springen, BWV 313	106	3a232ab1-702f-4162-b705-27d6e743d46c
3	7	Gelobet seist du, Jesu Christ BWV314	Gelobet seist du, Jesu Christ, BWV 314	107	86050979-f691-4bc7-9547-072c6456364a
3	8	Gelobet seist du, Jesu Christ (Cantata BWV64)	Gelobet seist du, Jesu Christ, Cantata BWV 64	108	4b47a166-2319-43be-8983-b647deb8cfe7
3	9	Gelobet seist du, Jesu Christ (Christmas Oratorio)	Gelobet seist du, Jesu Christ, Christmas Oratorio	110	a3c65150-3169-42aa-8e5b-d2c228f8ee76
3	10	Gott des Himmels und der Erden (Christmas Oratorio)	Gott des Himmels und der Erden, Christmas Oratorio	114	f2027aa5-b9ff-4d3f-84ef-f7790a02c061
3	11	Gottes Sohn ist kommen BWV318	Gottes Sohn ist kommen, BWV 318	115	b7c41a80-c62c-481d-acf9-4b31d9c7cb8e
3	12	Herzlich thut mich verlangen (Christmas Oratorio)	Herzlich thut mich verlangen, Christmas Oratorio	165	681bf9ad-47bb-45cb-8d37-a03eed6a25a7
3	13	Ich freue mich in dir (Cantata BWV133)	Ich freue mich in dir, Cantata BWV 133	181	2887eeb9-18c6-40ab-a614-042dbdf523c8
3	14	In dich hab. ich gehoffet, Herr (Christmas Oratorio)	In dich hab' ich gehoffet, Herr, Christmas Oratorio	214	c72e71d4-3729-4c98-be3e-e238153fc734
3	15	In dulci jubilo BWV368	In dulci jubilo, BWV 368	215	a2b9e24b-9863-4cb3-997f-aa4fa441b9fd
3	16	Lobt Gott, ihr Christen allzugleich BWV375	Lobt Gott, ihr Christen allzugleich, BWV 375	233	ddccebb2-b2da-4424-96ab-04b7b68f868b
3	17	Lobt Gott, ihr Christen allzugleich (Cantata BWV151)	Lobt Gott, ihr Christen allzugleich, Cantata BWV 151	235	af012dba-a620-45fa-bbcf-d875f78d54c4
3	18	Nun freut euch, lieben Christen g.mein BWV388	Nun freut euch, lieben Christen g'mein, BWV 388	261	29138cfb-919a-45f2-8a25-213a94945276
3	19	Nun freut euch, lieben Christen g.mein BWV307	Nun freut euch, lieben Christen g'mein, BWV 307	262	0f4a3020-d121-4c5b-b4aa-cf5a1a5c773a
3	20	Nun freut euch, lieben Christen g.mein (Christmas Oratorio)	Nun freut euch, lieben Christen g'mein, Christmas Oratorio	263	69fc513a-20a0-4c3a-b721-e96a993c464d
3	21	Nun komm, der Heiden Heiland (Cantata BWV36)	Nun komm, der Heiden Heiland, Cantata BWV 36	264	02c0ccb3-d87a-4255-94dc-21491d2b1fb8
3	22	Nun komm, der Heiden Heiland (Cantata BWV62)	Nun komm, der Heiden Heiland, Cantata BWV 62	265	c61fb1f4-0d64-4481-b21f-33283cdebbbd
3	23	Puer natus in Bethlehem (Cantata BWV65)	Puer natus in Bethlehem, Cantata BWV 65	302	4409df4e-5486-4a0c-a98a-68a0174b401d
3	24	Uns ist ein Kindlein heut. gebor.n BWV414	Uns ist ein Kindlein heut' gebor'n, BWV 414	313	f293d502-78b1-4ce2-b0cd-2afff89e0078
3	25	Vom Himmel hoch, da komm ich her (Christmas Oratorio)	Vom Himmel hoch, da komm ich her, Christmas Oratorio	323	94b1b10f-4459-4413-834e-05a528717fc9
3	26	Wachet auf, ruft uns die Stimme (Cantata BWV140)	Wachet auf, ruft uns die Stimme, Cantata BWV 140	329	906688d4-6185-47e1-a572-2e17c120fc2b
3	27	Warum sollt. ich mich denn grämen (Christmas Oratorio)	Warum sollt' ich mich denn grämen, Christmas Oratorio	335	38f3503e-18d5-433b-b5a2-f0d7710cd548
3	28	Wir Christenleut. (Cantata BWV40)	Wir Christenleut', Cantata BWV 40	379	f6d143e1-cee3-4145-9798-c2a041bd3855
3	29	Wir Christenleut. (Cantata BWV110)	Wir Christenleut', Cantate BWV110	380	e0ab6bb5-9208-4e6c-8c19-40761c4a59fe
3	30	Wir Christenleut. (Christmas Oratorio)	Wir Christenleut', Christmas Oratorio	381	bced0d82-0630-4be8-a162-747ae2890344
3	31	Kyrie, Gott Vater in Ewigkeit BWV371	Kyrie, Gott Vater in Ewigkeit, BWV 371	225	6d389961-f595-4587-b7c6-cda58cdeb04d
3	32	Allein Gott in der Höh. sei Ehr. BWV260	Allein Gott in der Höh' sei Ehr', BWV 260	12	ac02e145-c51c-423c-a6fb-dcae1f1952ae
3	33	Wir glauben all. an einen Gott BWV437	Wir glauben all' an einen Gott BWV 437	382	34c1478e-91f2-4f4f-a803-91a1e2547967
3	34	Heilig, heilig BWV325	Heilig, heilig, BWV 325	123	03da3cb5-2abb-47ca-ada5-12daab5e8517
3	35	Sanctus, sanctus Dominus Deus Sabaoth BWV325	Sanctus, sanctus Dominus Deus Sabaoth, BWV 325	123	4bc84d07-8985-494b-a3f0-184258b6b14c
3	36	Dies sind die heil.gen zehn Gebot. BWV298	Dies sind die heil'gen zehn Gebot', BWV 298	66	9fdf76a5-df84-4c0e-83ef-c74653db5868
3	37	Meine Seele erhebt den Herren (Cantata BWV10)	Meine Seele erhebt den Herren, Cantata BWV 10	122	a00f298f-a50d-45c9-83d8-4f21c81b3f30
3	38	Vater unser im Himmelreich BWV416	Vater unser im Himmelreich, BWV 416	316	7e148d06-a4bc-48d4-8b85-92ec58addce1
3	39	Vater unser im Himmelreich (Johannes-Passion BWV245)	Vater unser im Himmelreich, St. John Passion BWV 245	317	12bd9d50-de53-4dc9-b16e-8cde1f707a15
3	40	Verleih. uns Frieden genädiglich (Cantata BWV126)	Verleih' uns Frieden genädiglich, Cantata BWV 126	321	99b72ed6-161d-4821-b91d-4dd735f4957e
3	41	Verleih. uns Frieden genädiglich (Cantata BWV42)	Verleih' uns Frieden genädiglich, Cantata BWV 42	322	babc1494-bd37-4804-829f-119924029d87
4	1	Ach Gott, vom Himmel sieh. darein (Cantata BWV2)	Ach Gott, vom Himmel sieh' darein, Cantata BWV 2	7	63347767-8bd5-4f11-9c1a-42ee65125b00
4	2	Ach Gott, wie manches Herzeleid (Cantata BWV153)	Ach Gott, wie manches Herzeleid, Cantata BWV 153	9	b86966fe-5f36-4ad3-8ef9-5f3e5b05debe
4	3	Als Jesus Christus in der Nacht BWV265	Als Jesu Christus in der Nacht, BWV 265	21	722ae0ae-6e03-4c79-b1e0-02a364bc436f
4	4	An Wasserflüssen Babylon BWV267	An Wasserflüssen Babylon, BWV 267	23	c41f00a0-ff13-4d3f-aa9f-22d7440cf464
4	5	Christ ist erstanden BWV276	Christ ist erstanden, BWV 276	36	b465c89d-2baf-40ea-bed5-48ede9a25f5c
