mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
1	0	0	0	0.0	0	3/4	Tempo	4/4	1	1	0						𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0			
1	0	0	0	0.0	0	3/4	Dynamic	4/4	1	1	0					f								
1	0	0	0	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	0	Christ									
1	0	0	0	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	1										
1	0	0	0	0.0	0	3/4	Dynamic	4/4	2	1	0					f								
1	0	0	0	0.5	0	3/4	Chord	4/4	2	1	1/8	1/8	1	2										
1	0	1/2	1/2	0.5	1/8	7/8	Chord	4/4	2	1	1/8	1/8	1	3										
1	0	0	0	1.0	0	3/4	Chord	4/4	2	2	1/4	1/4	1	4										
2	1	1	1	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	5	ist									
2	1	2	2	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0			
2	1	2	2	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	6	er-									
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	7	-stan-									
2	1	3	3	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0			
2	1	3	3	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	8								0		
2	1	4	4	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
2	1	4	4	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	9										
2	1	9/2	9/2	0.0	7/8	7/8	Tempo	4/4	1	1	0						𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0			
2	1	1	1	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	10										
2	1	3/2	3/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	11										
2	1	2	2	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	12										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	13										
2	1	3	3	1.5	1/2	1/2	Chord	4/4	1	2	3/8	1/4	3/2	14								1		
2	1	9/2	9/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	15								1		
2	1	1	1	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	16										
2	1	2	2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	17										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	18										
2	1	3	3	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	19								2		
2	1	7/2	7/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	20								2		
2	1	15/4	15/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	21								2		
2	1	4	4	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	22										
2	1	1	1	0.75	0	0	Chord	4/4	2	2	3/16	1/8	3/2	23										
2	1	7/4	7/4	0.25	3/16	3/16	Chord	4/4	2	2	1/16	1/16	1	24										
2	1	2	2	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	25										
2	1	5/2	5/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	26										
2	1	3	3	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	27								3		
2	1	4	4	0.75	3/4	3/4	Chord	4/4	2	2	3/16	1/8	3/2	28								3		
2	1	19/4	19/4	0.25	15/16	15/16	Chord	4/4	2	2	1/16	1/16	1	29										
3	2	5	5	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=53	53.0	𝅘𝅥	53.0	0.0			
3	2	5	5	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	30	-den									
3	2	6	6	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0			
3	2	7	7	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=62.7	63.0	𝅘𝅥	62.7	0.0			
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	31	von									
3	2	8	8	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=61	61.0	𝅘𝅥	61.0	0.0			
3	2	8	8	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	32	der									
3	2	17/2	17/2	0.0	7/8	7/8	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	33										
3	2	5	5	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	34								1		
3	2	11/2	11/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	35								1		
3	2	23/4	23/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	36										
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	37										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	38										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	39										
3	2	5	5	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	40										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	41										
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	42										
3	2	5	5	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	43										
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	44										
3	2	8	8	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	45										
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	46										
4	3	9	9	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	47	Mar-									
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	48										
4	3	10	10	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	49	-ter									
4	3	11	11	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0			
4	3	11	11	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	50	al-							4		
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	51								4		
4	3	12	12	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=61	61.0	𝅘𝅥	61.0	0.0			
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	52										
4	3	25/2	25/2	0.0	7/8	7/8	Tempo	4/4	1	1	0						𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0			
4	3	51/4	51/4	0.0	15/16	15/16	Tempo	4/4	1	1	0						𝅘𝅥=58	58.0	𝅘𝅥	58.0	0.0			
4	3	9	9	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	53										
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	54										
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	55										
4	3	11	11	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	56								5		
4	3	23/2	23/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4	1/4	1	57								5		
4	3	25/2	25/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	58										
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	59										
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	60										
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	61								6		
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	62								6		
4	3	12	12	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	63								6		
4	3	25/2	25/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	64								6		
4	3	51/4	51/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	65										
4	3	9	9	1.5	0	0	Chord	4/4	2	2	3/8	1/4	3/2	66										
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	67										
4	3	11	11	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	68								7		
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	69								7		
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	70										
5	4	13	13	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0			
5	4	13	13	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	71	-le:									
5	4	16	16	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0			
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	72	des									
5	4	13	13	2.0	0	0	Chord	4/4	1	2	1/2	1/2	1	73										
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	74										
5	4	13	13	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	75										
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	76										
5	4	13	13	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	77										
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	78										
6	5	17	17	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=67	67.0	𝅘𝅥	67.0	0.0			
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	79	soll'n									
6	5	35/2	35/2	0.0	1/8	1/8	Tempo	4/4	1	1	0						𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0			
6	5	18	18	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0			
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	80	wir									
6	5	37/2	37/2	0.0	3/8	3/8	Tempo	4/4	1	1	0						𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0			
6	5	19	19	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=66	66.0	𝅘𝅥	66.0	0.0			
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	81	al-									
6	5	20	20	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0			
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	82	-le									
6	5	41/2	41/2	0.0	7/8	7/8	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
6	5	17	17	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	83								8		
6	5	35/2	35/2	0.25	1/8	1/8	Chord	4/4	1	2	1/16	1/16	1	84								8		
6	5	71/4	71/4	0.25	3/16	3/16	Chord	4/4	1	2	1/16	1/16	1	85										
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	86										
6	5	19	19	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	87								9		
6	5	39/2	39/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4	1/4	1	88										
6	5	41/2	41/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	89										
6	5	83/4	83/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	90										
6	5	17	17	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	91										
6	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	92										
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	93										
6	5	19	19	0.25	1/2	1/2	Chord	4/4	2	1	1/16	1/16	1	94								10		
6	5	77/4	77/4	0.25	9/16	9/16	Chord	4/4	2	1	1/16	1/16	1	95								10		
6	5	39/2	39/2	1.0	5/8	5/8	Chord	4/4	2	1	1/4	1/4	1	96										
6	5	41/2	41/2	0.25	7/8	7/8	Chord	4/4	2	1	1/16	1/16	1	97										
6	5	83/4	83/4	0.25	15/16	15/16	Chord	4/4	2	1	1/16	1/16	1	98										
6	5	17	17	1.5	0	0	Chord	4/4	2	2	3/8	1/4	3/2	99										
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	100										
6	5	19	19	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	101										
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	102										
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	103										
7	6	21	21	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0			
7	6	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	104	froh							11		
7	6	22	22	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	105										
7	6	23	23	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0			
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	106	sein;									
7	6	24	24	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
7	6	24	24	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	107	Chri-									
7	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	108										
7	6	21	21	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	109								12		
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	110								12		
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	111										
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	112										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	113										
7	6	21	21	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	114								13		
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	115								13		
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	116										
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	117										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	118										
7	6	21	21	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	119								14		
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	120								14		
7	6	22	22	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	121								14		
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	122										
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	123										
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	124										
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	125	-stus									
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	126	will									
8	7	27	27	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	127	un-									
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	128										
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	129	-ser									
8	7	25	25	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	130								15		
8	7	51/2	51/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	131										
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	132										
8	7	27	27	1.5	1/2	1/2	Chord	4/4	1	2	3/8	1/4	3/2	133										
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	134										
8	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	135										
8	7	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	136										
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	137										
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	138										
8	7	28	28	0.25	3/4	3/4	Chord	4/4	2	1	1/16	1/16	1	139										
8	7	113/4	113/4	0.25	13/16	13/16	Chord	4/4	2	1	1/16	1/16	1	140										
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	141										
8	7	25	25	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	142										
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	143										
8	7	27	27	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	144										
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	145										
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	146										
9	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	147	Trost							16		
9	8	30	30	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0			
9	8	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	148										
9	8	31	31	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	149	sein.									
9	8	29	29	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	150								17		
9	8	59/2	59/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	151								17		
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	152										
9	8	31	31	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	153										
9	8	29	29	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	154								18		
9	8	117/4	117/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	155								18		
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	156								18		
9	8	30	30	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	157								18		
9	8	121/4	121/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	158								18		
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	159										
9	8	31	31	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	160										
9	8	29	29	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	161								19		
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	162								19		
9	8	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	163										
9	8	31	31	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	164										
10	9	33	33	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0			
10	9	33	33	0.0	0	0	Dynamic	4/4	1	1	0					mf								
10	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	165	Ky-									
10	9	34	34	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0			
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	166	-ri-									
10	9	35	35	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0			
10	9	35	35	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	167	-e-									
10	9	36	36	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=53	53.0	𝅘𝅥	53.0	0.0			
10	9	73/2	73/2	0.0	7/8	7/8	Tempo	4/4	1	1	0						𝅘𝅥=52	52.0	𝅘𝅥	52.0	0.0			
10	9	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	168										
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	169								20		
10	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	170								20		
10	9	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	171								20		
10	9	33	33	0.0	0	0	Dynamic	4/4	2	1	0					mf								
10	9	33	33	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	172										
10	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	173										
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	174										
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	175										
10	9	35	35	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	176								21		
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	177								21		
10	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	178								21		
10	9	33	33	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	179										
10	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	180										
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	181										
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	182										
10	9	35	35	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	183								22		
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	184								22		
10	9	36	36	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	185								22		
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	186										
11	10	37	37	4.0	0	0	Chord	4/4	1	1	1	1	1	187	-leis.									
11	10	38	38	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=51	51.0	𝅘𝅥	51.0	0.0			
11	10	77/2	77/2	0.0	3/8	3/8	Tempo	4/4	1	1	0						𝅘𝅥=49	49.0	𝅘𝅥	49.0	0.0			
11	10	39	39	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=48	48.0	𝅘𝅥	48.0	0.0			
11	10	37	37	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	188								20		
11	10	38	38	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	189								20		
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	190										
11	10	39	39	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	191										
11	10	37	37	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	192								21		
11	10	38	38	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	193								21		
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	194										
11	10	39	39	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	195										
11	10	37	37	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	196								23		
11	10	39	39	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	197										
12	11	41	41	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=65	65.0	𝅘𝅥	65.0	0.0			
12	11	41	41	0.0	0	0	Dynamic	4/4	1	1	0					f								
12	11	41	41	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	198	Wär'									
12	11	42	42	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0			
