mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	1.0	0	4/4	1/4	3/4		1			firstMeasure	2
2	1	1	4.0	0	4/4	1	0						3
3	2	5	4.0	0	4/4	1	0						4
4	3	9	4.0	0	4/4	1	0						5
5	4	13	4.0	0	4/4	1	0						6
6	5	17	3.0	0	4/4	3/4	0				line	end	1, 7
7	5	20	1.0	0	4/4	1/4	3/4		1				8
8	6	21	4.0	0	4/4	1	0						9
9	7	25	4.0	0	4/4	1	0						10
10	8	29	4.0	0	4/4	1	0						11
11	9	33	3.0	0	4/4	3/4	0			end		lastMeasure	-1
